date,cash,position_value,equity,gross_exposure,target_exposure,num_positions,trend_regime,vol_regime
2013-03-18,1000000.0,0.0,1000000.0,0.0,0.1,0,NEUTRAL,HIGH_VOL
2013-03-19,901621.3418058773,97214.60109710693,998835.9429029842,0.09732789632556232,0.1,10,NEUTRAL,HIGH_VOL
2013-03-20,901621.3418058773,96140.27163622904,997761.6134421063,0.09635595350733288,0.1,10,NEUTRAL,HIGH_VOL
2013-03-21,901621.3418058773,95507.52365801859,997128.8654638958,0.09578252818263913,0.1,10,BEAR,HIGH_VOL
2013-03-22,901621.3418058773,95371.64130328226,996992.9831091595,0.0956592904052968,0.1,10,BEAR,HIGH_VOL
2013-03-25,911055.6837709215,85681.62665484476,996737.3104257663,0.0859620942836433,0.1,9,BEAR,HIGH_VOL
2013-03-26,911055.6837709215,85460.2340156846,996515.9177866061,0.08575902551110584,0.1,9,BEAR,MID_VOL
2013-03-28,911055.6837709215,86453.64930651712,997509.3330774386,0.08666951419872636,0.5,9,NEUTRAL,MID_VOL
2013-04-01,911055.6837709215,86831.1660759263,997886.8498468478,0.08701504192509686,0.5,9,NEUTRAL,MID_VOL
2013-04-02,911055.6837709215,88824.88043139505,999880.5642023166,0.08883549056907376,0.5,9,NEUTRAL,MID_VOL
2013-04-03,911055.6837709215,88145.94225237894,999201.6260233005,0.08821637190802915,0.5,9,NEUTRAL,MID_VOL
2013-04-04,911055.6837709215,86250.01672289896,997305.7004938205,0.08648302790226896,0.1,9,BEAR,MID_VOL
2013-04-05,911055.6837709215,85996.18471453714,997051.8684854587,0.08625046242094409,0.1,9,BEAR,MID_VOL
2013-04-08,911055.6837709215,86045.29298327494,997100.9767541965,0.08629546554389413,0.1,9,BEAR,MID_VOL
2013-04-09,911055.6837709215,85299.9397880845,996355.623559006,0.08561194193233043,0.1,9,BEAR,MID_VOL
2013-04-10,911055.6837709215,85804.73742602396,996860.4211969455,0.08607497659802453,0.1,9,BEAR,MID_VOL
2013-04-11,911055.6837709215,86132.49674914408,997188.1805200656,0.08637536869342276,0.1,9,BEAR,MID_VOL
2013-04-12,911055.6837709215,85940.76013110208,996996.4439020236,0.08619966566254635,0.1,9,BEAR,MID_VOL
2013-04-15,911055.6837709215,86243.42936633158,997299.1131372531,0.08647699394320262,0.1,9,BEAR,MID_VOL
2013-04-16,911055.6837709215,86812.85197375345,997868.535744675,0.08699828571001891,0.1,9,NEUTRAL,HIGH_VOL
2013-04-17,911055.6837709215,86562.75294421244,997618.436715134,0.08676939976093294,0.1,9,NEUTRAL,HIGH_VOL
2013-04-18,895949.1534142543,101256.50986407328,997205.6632783276,0.10154024750640814,0.1,10,NEUTRAL,HIGH_VOL
2013-04-22,895949.1534142543,102048.9505455308,997998.1039597851,0.10225365172601862,0.1,10,NEUTRAL,HIGH_VOL
2013-04-23,895949.1534142543,102140.39852068949,998089.5519349438,0.10233590595420547,0.1,10,NEUTRAL,HIGH_VOL
2013-04-25,895949.1534142543,103172.43526385355,999121.5886781078,0.10326314277760357,0.1,10,NEUTRAL,HIGH_VOL
2013-04-26,895949.1534142543,102084.31748889017,998033.4709031445,0.10228546483166703,0.1,10,NEUTRAL,HIGH_VOL
2013-04-29,895949.1534142543,102739.54989550638,998688.7033097607,0.10287444881975392,0.1,10,NEUTRAL,HIGH_VOL
2013-04-30,895949.1534142543,103488.70233843851,999437.8557526928,0.10354691063858042,0.1,10,NEUTRAL,HIGH_VOL
2013-05-02,895949.1534142543,104350.5818092637,1000299.735223518,0.10431931363647363,0.1,10,BULL,HIGH_VOL
2013-05-03,893071.0999541758,107613.76927111673,1000684.8692252925,0.10754011835357206,0.1,10,BULL,HIGH_VOL
2013-05-06,893071.0999541758,107872.84564135599,1000943.9455955317,0.10777111557148675,0.1,10,BULL,HIGH_VOL
2013-05-07,893071.0999541758,108636.73160479593,1001707.8315589717,0.10845151468539793,1.0,10,BULL,MID_VOL
2013-05-08,893071.0999541758,108859.15167162943,1001930.2516258052,0.10864943093093218,1.0,10,BULL,MID_VOL
2013-05-09,893071.0999541758,108384.48442767191,1001455.5843818476,0.10822695096814768,1.0,10,BULL,MID_VOL
2013-05-10,893071.0999541758,109314.67368243265,1002385.7736366084,0.109054494344871,1.0,10,BULL,MID_VOL
2013-05-13,863121.2100410666,138398.33524249124,1001519.5452835578,0.13818835178429478,0.1,10,BULL,HIGH_VOL
2013-05-14,863121.2100410666,138398.10822985697,1001519.3182709236,0.13818815643895402,0.1,10,BULL,HIGH_VOL
