regime_type,regime,observations,mean_daily_ret,sharpe,hit_rate,avg_exposure
trend_regime,BEAR,430,-0.0010088180695627194,-1.837596458843023,0.4744186046511628,0.263530285716859
trend_regime,BULL,1584,0.001632729549430129,2.7790443276558,0.5827020202020202,0.7147998106148178
trend_regime,NEUTRAL,1136,0.0001448242544019617,0.2273464351656576,0.522887323943662,0.519261212191939
vol_regime,HIGH_VOL,1025,0.00037439891225024736,0.6756954249550188,0.5434146341463415,0.40924246408215875
vol_regime,LOW_VOL,1162,0.0008952334148275412,1.5392331326852213,0.5542168674698795,0.7237401066396902
vol_regime,MID_VOL,963,0.0009272607230528319,1.3707730446481523,0.5399792315680166,0.5970738632633756
trend_regime+vol_regime,BEAR|HIGH_VOL,253,-0.0010311126735866429,-2.1623242971948975,0.48616600790513836,0.20143057176386184
trend_regime+vol_regime,BEAR|LOW_VOL,62,1.1366203466306636e-05,0.02429481519766339,0.5,0.4497083882077534
trend_regime+vol_regime,BEAR|MID_VOL,115,-0.0015097823313866062,-2.1117509834416044,0.43478260869565216,0.2997753750705357
trend_regime+vol_regime,BULL|HIGH_VOL,281,0.0019291005188834466,3.5838115207075596,0.5907473309608541,0.5869558167297035
trend_regime+vol_regime,BULL|LOW_VOL,827,0.0010892202687773174,1.8891237227539135,0.5731559854897219,0.775075982640129
trend_regime+vol_regime,BULL|MID_VOL,476,0.002402061340782005,3.813059498291305,0.5945378151260504,0.6855472224147859
trend_regime+vol_regime,NEUTRAL|HIGH_VOL,491,0.00020886587712357578,0.35333065242072337,0.5458248472505092,0.41461712123606737
trend_regime+vol_regime,NEUTRAL|LOW_VOL,273,0.0005083200041606242,0.82084632572942,0.5091575091575091,0.630462440304222
trend_regime+vol_regime,NEUTRAL|MID_VOL,372,-0.00020646277904004737,-0.2926064762884741,0.5026881720430108,0.5757728073120458
