date,equity,daily_ret,rolling_sharpe_126d,drawdown
2013-03-18,1000000.0,0.0,,0.0
2013-03-19,998835.9429029842,-0.001164057097015836,,-0.001164057097015836
2013-03-20,997761.6134421063,-0.0010755814991554313,,-0.002238386557893657
2013-03-21,997128.8654638958,-0.0006341674901959582,,-0.002871134536104214
2013-03-22,996992.9831091595,-0.00013627361461765464,,-0.003007016890840486
2013-03-25,996737.3104257663,-0.0002564438142742542,,-0.0032626895742337014
2013-03-26,996515.9177866061,-0.0002221173390866138,,-0.003484082213393913
2013-03-28,997509.3330774386,0.000996888532437179,,-0.002490666922561391
2013-04-01,997886.8498468478,0.00037845938568259463,,-0.0021131501531521657
2013-04-02,999880.5642023166,0.0019979362948561175,,-0.0001194357976834759
2013-04-03,999201.6260233005,-0.0006790192782252236,,-0.0007983739766995734
2013-04-04,997305.7004938205,-0.001897440396514849,,-0.0026942995061794983
2013-04-05,997051.8684854587,-0.0002545177554246214,,-0.002948131514541319
2013-04-08,997100.9767541965,4.925347445805528e-05,,-0.0028990232458036003
2013-04-09,996355.623559006,-0.0007475202738409514,,-0.003644376440994024
2013-04-10,996860.4211969455,0.0005066440395411487,,-0.003139578803054488
2013-04-11,997188.1805200656,0.00032879159022747295,,-0.002811819479934363
2013-04-12,996996.4439020236,-0.00019227726700687953,,-0.003003556097976423
2013-04-15,997299.1131372531,0.0003035810579674614,,-0.002700886862746943
2013-04-16,997868.535744675,0.0005709647185292432,,-0.0021314642553250662
2013-04-17,997618.436715134,-0.0002506332453446891,,-0.0023815632848660506
2013-04-18,997205.6632783276,-0.00041375882964389543,,-0.002794336721672397
2013-04-22,997998.1039597851,0.0007946612325209212,,-0.0020018960402149455
2013-04-23,998089.5519349438,9.163141171897315e-05,,-0.0019104480650562472
2013-04-25,999121.5886781078,0.0010340121697129945,,-0.0008784113218921474
2013-04-26,998033.4709031445,-0.0010890744302732847,,-0.0019665290968555738
2013-04-29,998688.7033097607,0.0006565234791406915,,-0.0013112966902393275
2013-04-30,999437.8557526928,0.0007501360939092816,,-0.0005621442473071614
2013-05-02,1000299.735223518,0.000862364243924052,,0.0
2013-05-03,1000684.8692252925,0.0003850185981388865,,0.0
2013-05-06,1000943.9455955317,0.0002588990582417239,,0.0
2013-05-07,1001707.8315589717,0.0007631655766551226,,0.0
2013-05-08,1001930.2516258052,0.00022204085844812482,,0.0
