symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value_net,net_pnl,net_return,holding_days,total_cost,trend_regime_entry,vol_regime_entry,trend_regime_exit,vol_regime_exit,exit_reason_bucket
BLUESTARCO_NS,2023-01-13,2025-01-13,640.2124931643045,1915.847040856396,1011,647254.8305891126,1930054.2170891725,1282799.3865000599,1.9819077832644263,731,9246.172691035186,NEUTRAL,LOW_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
ADANIENT_NS,2020-11-11,2021-07-16,359.65076555295957,1406.490235512165,676,243123.91751380102,947409.1237378367,704285.2062240357,2.8968158025178936,247,4271.380713435853,BULL,MID_VOL,BULL,LOW_VOL,Trailing Profit Protection
TRENT_NS,2024-04-05,2024-10-30,4017.5419154281176,7413.577633851922,191,767350.5058467744,1410969.6148785762,643619.1090318018,0.8387550462634614,208,7842.544994668857,BULL,MID_VOL,NEUTRAL,MID_VOL,Trailing Profit Protection
INDOTHAI_NS,2024-10-30,2025-01-24,104.91791468649129,192.3957888625418,6265,657310.735510868,1200953.1856279953,543642.4501171273,0.8270706999705448,86,6833.203690515988,NEUTRAL,MID_VOL,BEAR,MID_VOL,Trailing Profit Protection
SCHAEFFLER_NS,2021-09-02,2022-10-25,1417.3599357553278,2999.9776772704104,334,473398.21854228096,998432.9247138953,525034.7061716144,1.1090762187241343,418,5299.010425295162,BULL,LOW_VOL,BULL,LOW_VOL,Trailing Profit Protection
