symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value_net,net_pnl,net_return,holding_days,total_cost,trend_regime_entry,vol_regime_entry,trend_regime_exit,vol_regime_exit,exit_reason_bucket
TATAINVEST_NS,2025-10-17,2025-11-25,927.4067899642222,736.7000122070312,996,923697.1628043662,731142.586150962,-192554.57665340416,-0.2084607211186012,39,6003.788811607201,BULL,LOW_VOL,NEUTRAL,LOW_VOL,Initial Risk Stop
NETWORK18_NS,2025-08-20,2025-11-18,58.058380860361474,46.95000076293945,16594,963420.7719968383,776315.7089150513,-187105.06308178697,-0.1942090813487266,90,6311.7768955686015,NEUTRAL,LOW_VOL,BULL,LOW_VOL,Portfolio Rebalance Exit
IIFL_NS,2025-07-22,2025-09-18,532.0821004071524,441.63226661624776,1809,962536.5196365393,796071.6012624721,-166464.91837406717,-0.17294400262020762,58,6377.084898629492,BULL,LOW_VOL,BULL,LOW_VOL,Time-Based Risk Exit
NETWORK18_NS,2024-12-30,2025-01-27,73.19890869994236,51.93000030517578,6933,507488.0340167005,358741.87675760203,-148746.1572590985,-0.29310278723577454,28,3153.1572590984865,NEUTRAL,MID_VOL,BEAR,MID_VOL,Defensive Regime Exit
UNIONBANK_NS,2022-12-16,2023-02-23,82.44094021219179,61.352880129691634,6634,546913.1973676804,405560.0525625878,-141353.1448050926,-0.25845626963370444,69,3464.0222671197616,BULL,LOW_VOL,BEAR,LOW_VOL,Initial Risk Stop
